Ref;Nombre;instalaciones;Dirección;Municipio;Código Municipio;Provincia;Código Provincia;Teléfono
0001;Bolatokia;;Ranzari;Santurtzi;082;Bizkaia;48;
0002;POLIDEPORTIVO MIKEL TRUEBA-EL PUERTO;Sala equipada 1#Sala especializada 1#Sala especializada 2#Sala equipada 2#Sala equipada 3#Pista polideportiva#Pista de squash 1#Pista de squash 2#Pista de padel 1#Pista de padel 2#Pista de padel 3#Pista de padel 4#Pista de tenis 1#Pista de tenis 2#Pista de tenis 3#Pista de fútbol sala#Pista de atletismo#Zona de saltos 1#Recta de saltos#Sala de tiro con arco#Vaso recreativo 1#Vaso de chapoteo#Vaso recreativo 2#Vaso de enseñanza#Vaso deportivo#Vaso de hidromasaje 1#Vaso de hidromasaje 2#Gimnasio de Calistenia;Paseo Reina Victoria S/N ;Santurtzi;082;Bizkaia;48;34944836625
0003;POLIDEPORTIVO ARTUNDUAGA;Frontón 1#Frontón 2#Frontón 3#Pista de tenis 1#Pista polideportiva 1#Pista polideportiva 2#Rocodromo 1#Rocodromo 2#Pista de tenis 2#Pista de tenis 3#Pista de tenis 4#Pista de padel 1#Pista de padel 2#Pista de padel 3#Sala de aerobic#Sala de yoga#Vaso deportivo 1#Vaso deportivo 2#Vaso recreativo 1#Vaso de chapoteo 1#Sala de spinning#Sala de musculación#Vaso recreativo 2#Vaso de chapoteo 2#Pista de atletismo 1#Pista de atletismo 2#Pista de atletismo 3#Campo de futbol 1#Campo de futbol 2#Pista de padel cubierta 1#Pista de padel cubierta 2#Pista de padel cubierta 3#Pista de padel cubierta 4#Sala de Halterofilia#Sala Pilates;Artunduaga auzoa S/N ;Basauri;015;Bizkaia;48;34944666383
0004;GIMNASIO DOJO;Tatami;ESKOIKIZ KALEA S/N ;Bermeo;017;Bizkaia;48;34946186671
0005;PISTA DE FÚTBOL DE ZUBILLAGA;Pista de fútbol;C/ DE LAS ESCUELAS S/N ;Lantarón;902;Araba/Álava;01;34945332024
0006;GIMNASIO ELEXALDE;Sala spining#Sala cardiovascular#Sala musculación;Calle Etxeburu 4 ;Galdakao;036;Bizkaia;48;34944566696
0007;RUTA BTT 15 GR-38(B);Ruta en bicicleta;CAMPO DE GOLF DE URTURI S/N ;Bernedo;016;Araba/Álava;01;34945378262
0008;I.E.S. IGNACIO AROZENA-BENITO BARRUETA;Pista polideportiva 1#Pista polideportiva 2#Pista polideportiva 3#Gimnasio;MATXITXAKO BIDEA S/N ;Bermeo;017;Bizkaia;48;34946186740
0009;RUTA BTT 07 ARRIEROS;Ruta en bicicleta;CAMPO DE GOLF DE URTURI S/N ;Bernedo;016;Araba/Álava;01;34945378262
0010;RUTA DESDE LO MAS ALTO;Sendero;Carretera Gallarta s/n ;Valle de Trápaga-Trapagaran;080;Bizkaia;48;34944922863
